name,zipCode,neighborhood,councilDistrict,policeDistrict,Location 1
GRANITE,21224,Canton,1,SOUTHEASTERN,"2903 O DONNELL ST
Baltimore, MD
"
GRANT'S 2 SPOT,21223,Penrose/Fayette Street Outreach,9,WESTERN,"2 WHEELER AVE
Baltimore, MD
"
GREAT TASTE CHINESE  RESTAURANT,21229,Saint Agnes,8,SOUTHWESTERN,"3444 WILKENS AVE
Baltimore, MD
"
GREENE ST CAF,21201,Seton Hill,11,CENTRAL,"300 GREENE ST
Baltimore, MD
"
GREENHOUSE CAF,21205,Middle East,13,EASTERN,"725 WOLFE ST
Baltimore, MD
"
GREENMOUNT LOUNGE,21202,Johnston Square,12,EASTERN,"1318 GREENMOUNT AVE
Baltimore, MD
"
GRENADIER CLUB,21217,Upton,11,CENTRAL,"1226 MC CULLOH ST
Baltimore, MD
"
GRIFFITH'S,21211,Hampden,7,NORTHERN,"3631 HICKORY ave
Baltimore, MD
"
GRILL ART,21211,Hampden,7,NORTHERN,"1011 36TH ST
Baltimore, MD
"
GRILLE 601,21205,Dunbar-Broadway,12,EASTERN,"601 CAROLINE ST
Baltimore, MD
"
GROWLERS PUB,21224,Canton,1,SOUTHEASTERN,"600 POTOMAC ST
Baltimore, MD
"
GROWN FOLKS BAR,21225,Brooklyn,10,SOUTHERN,"3525 HANOVER ST
Baltimore, MD
"
GRUMPIE'S,21230,Federal Hill,10,SOUTHERN,"25 CROSS ST
Baltimore, MD
"
GRUNDY'S,21224,Brewers Hill,1,SOUTHEASTERN,"718 GRUNDY ST
Baltimore, MD
"
"GRUNWALD CLUB, INCORPORATED",21224,Canton,1,SOUTHEASTERN,"2825 O DONNELL ST
Baltimore, MD
"
JAUNG KAK RESTURANT(aka 18 W.20TH ST),21218,Charles North,12,NORTHERN,"18 20th ST
Baltimore, MD
"
JAVA JOE'S,21202,Downtown,11,CENTRAL,"8 BALTIMORE ST
Baltimore, MD
"
"JAY & KAY SUBWAY, INC.",21218,Charles Village,12,NORTHERN,"37 25TH ST
Baltimore, MD
"
JAY'S ON READ,21201,Mount Vernon,11,CENTRAL,"225 READ ST
Baltimore, MD
"
JAY'S WOLFE ST CAF,21205,Dunbar-Broadway,13,EASTERN,"610 WOLFE ST
Baltimore, MD
"
JAZZY BLUES CLUB,21231,Upper Fells Point,1,SOUTHEASTERN,"301 ANN ST
Baltimore, MD
"
"JD's SMOKEHOUSE BAR & GRILL, INC.",21224,Canton,1,SOUTHEASTERN,"3000 O DONNELL ST
Baltimore, MD
"
JEMELLA 'S CUT RATE,21217,Sandtown-Winchester,9,WESTERN,"1831 MOSHER ST
Baltimore, MD
"
JERRY'S BAR,21216,Mosher,9,SOUTHWESTERN,"604 POPLAR GROVE ST
Baltimore, MD
"
JEWEL BOX LOUNGE,21202,Downtown,11,CENTRAL,"419 BALTIMORE ST
Baltimore, MD
"
JHJ SALOON,21231,Fells Point,1,SOUTHEASTERN,"2036 EASTERN AVE
Baltimore, MD
"
JIGGS TAVERN,21230,Washington Village,11,SOUTHERN,"737 CARROLL ST
Baltimore, MD
"
JIM DANDY'S TAVERN,21226,Curtis Bay,10,SOUTHERN,"4810 CURTIS AVE
Baltimore, MD
"
JIMMY'S RESTAURANT,21231,Fells Point,1,SOUTHEASTERN,"801 BROADWAY
Baltimore, MD
"
JIM'S DINER,21224,Canton Industrial Area,1,SOUTHEASTERN,"4806 HOLABIRD AVE
Baltimore, MD
"
JOCKEY CLUB/PALACE KITCHEN,21215,Pimlico Good Neighbors,5,NORTHWESTERN,"Hayward Ave
Baltimore, MD
"
JOE SQUARED PIZZA AND BAR,21201,Charles North,12,CENTRAL,"133 NORTH AVE
Baltimore, MD
"
JOE'S TAVERN,21224,Graceland Park,1,SOUTHEASTERN,"1006 DUNDALK AVE
Baltimore, MD
"
JOE'S TAVERN,21230,Morrell Park,10,SOUTHWESTERN,"2709 11 WASHINGTON BLVD
Baltimore, MD
"
JOE'S TAVERN & PACKAGE GOODS,21215,Glen,5,NORTHWESTERN,"6200 REISTERSTOWN RD
Baltimore, MD
"
JOHN'S LOUNGE,21217,Sandtown-Winchester,9,WESTERN,"1519 RIGGS AVE
Baltimore, MD
"
JOY DELI,21201,Downtown,11,CENTRAL,"24 FAYETTE ST
Baltimore, MD
"
JP'S,21224,Canton,1,SOUTHEASTERN,"528 BOULDIN ST
Baltimore, MD
"
JR.'S BAR & GRILL,21230,Locust Point,10,SOUTHERN,"1229 HULL ST
Baltimore, MD
"
JUNIORS,21230,Federal Hill,10,SOUTHERN,"1117 CHARLES ST
Baltimore, MD
"
K.F.C.,21205,Gay Street,12,EASTERN,"901 CAROLINE ST
Baltimore, MD
"
KABOBBI RESTAURANT,21231,Fells Point,1,SOUTHEASTERN,"1616 THAMES ST
Baltimore, MD
"
KALI'S COURT,21231,Fells Point,1,SOUTHEASTERN,"1606 THAMES ST
Baltimore, MD
"
POSITIONS UNLIMITED,21202,Downtown,11,CENTRAL,"14 CUSTOM HOUSE AVE
Baltimore, MD
"
POTBELLY SANDWICH WORK'S,21202,Inner Harbor,11,CENTRAL,"621 PRATT ST
Baltimore, MD
"
PRIMO'S,21210,Loyola/Notre Dame,6,NORTHERN,"100 COLDSPRING LN
Baltimore, MD
"
PULASKI FOOD SERVICE,21224,Ellwood Park/Monument,13,SOUTHEASTERN,"3505 PULASKI HWY
Baltimore, MD
"
PUR LOUNGE,21224,Canton,1,SOUTHEASTERN,"2322 BOSTON ST
Baltimore, MD
"
PURPLE GOOSE,21230,Morrell Park,10,SOUTHWESTERN,"2623 WASHINGTON BLVD
Baltimore, MD
"
"q s r,inc  - Mcdonald's",21218,Hillen,3,NORTHEASTERN,"1600 argonne dr
Baltimore, MD
"
"qsr, inc.- McDonalds",21201,Charles North,12,CENTRAL,"15 north ave
Baltimore, MD
"
"QSR, INC. MCDONALD'S)",21227,Moravia-Walther,3,NORTHEASTERN,"4635 HARFORD rd
Baltimore, MD
"
QUIGLEY 1/2 IRISH PUB,21230,Ridgely's Delight,11,SOUTHERN,"633 PORTLAND AVE
Baltimore, MD
"
QUINOS,21230,Riverside,10,SOUTHERN,"1465 KEY HIGHWAY
Baltimore, MD
"
QUIZINOS OF FALLS road,21201,Inner Harbor,11,CENTRAL,"100 CHARLES ST
Baltimore, MD
"
QUIZNOS,21224,Canton,1,SOUTHEASTERN,"2837 O DONNELL ST
Baltimore, MD
"
QUIZNO'S,21202,Downtown,11,CENTRAL,"10 CALVERT ST
Baltimore, MD
"
QUIZNO'S,21202,Mid-Town Belvedere,11,CENTRAL,"201 CHASE ST
Baltimore, MD
"
QUIZNOS OF FELLS POINT,21231,Fells Point,1,SOUTHEASTERN,"716 BROADWAY
Baltimore, MD
"
QUO VADIS DEMOCRATIC CLUB,21231,Fells Point,1,SOUTHEASTERN,"1921 FLEET ST
Baltimore, MD
"
RA SUSHI,21231,Fells Point,1,SOUTHEASTERN,"701 EDEN ST
Baltimore, MD
"
RADISSON CROSS KEYS HOTEL,21210,Cross Keys,6,NORTHERN,"5050 FALLS RD
Baltimore, MD
"
RADISSON HOTEL AT CROSS KEYS,21210,Cross Keys,6,NORTHERN,"5102 FALLS RD
Baltimore, MD
"
RAFTERS,21230,Riverside,10,SOUTHERN,"620 FORT AVE
Baltimore, MD
"
RAINBOW HOMESTYLE BUFFET,21206,Frankford,2,NORTHEASTERN,"5016 SINCLAIR LN
Baltimore, MD
"
RAINBOW'S  BAR,21223,Washington Village,9,SOUTHERN,"1175 SARGEANT ST
Baltimore, MD
"
RALLO'S RESTAURANT,21230,Riverside,10,SOUTHERN,"838 FORT Ave
Baltimore, MD
"
RAMS HEAD TAVERN,21202,Downtown,11,CENTRAL,"20 MARKET PL
Baltimore, MD
"
RANDY'S BAR,21213,Broadway East,12,EASTERN,"2135 NORTH AVE
Baltimore, MD
"
RAS-A-TER INTERNATIONAL,21217,Easterwood,7,WESTERN,"2103 NORTH AVE
Baltimore, MD
"
RASCALS COMEDY CLUB,21202,Downtown,11,CENTRAL,"6 MARKET PL
Baltimore, MD
"
RAVE  INN,21226,Curtis Bay,10,SOUTHERN,"4507 PENNINGTON AVE
Baltimore, MD
"
RAY LEWIS' FULL MOON B-B-Q,21224,Canton,1,SOUTHEASTERN,"2400 BOSTON ST
Baltimore, MD
"
RAY'S TAVERN,21222,Saint Helena,1,SOUTHEASTERN,"6500 ST HELENA AVE
Baltimore, MD
"
RAYZER'S,21230,SBIC,10,SOUTHERN,"13 RANDALL ST
Baltimore, MD
"
RED DOOR LOUNGE,21217,Bridgeview/Greenlawn,9,WESTERN,"1000 PAYSON ST
Baltimore, MD
"
RED FISH,21224,Canton,1,SOUTHEASTERN,"845 MONTFORD AVE
Baltimore, MD
"
RED FOX LIQUORS,21217,Penn North,7,WESTERN,"2733 PENNSYLVANIA AVE
Baltimore, MD
"
RED HOUSE TAVERN INC.,21231,Canton,1,SOUTHEASTERN,"2239 ESSEX ST
Baltimore, MD
"
RED LYON TAVERN,21224,Canton,1,SOUTHEASTERN,"501 DECKER AVE
Baltimore, MD
"
RED MAPLE,21201,Mount Vernon,11,CENTRAL,"930 CHARLES ST
Baltimore, MD
"
RED ROOSTER,21206,Frankford,2,NORTHEASTERN,"6412 FRANKFORD AVE
Baltimore, MD
"
RED SQUARE RESTAURANT,21202,Mid-Town Belvedere,12,CENTRAL,"1 CHASE ST
Baltimore, MD
"
REGAN'S TAVERN,21224,Highlandtown,2,SOUTHEASTERN,"4001 EASTERN AVE
Baltimore, MD
"
REGI'S BAR & RESTAURANT,21230,Federal Hill,10,SOUTHERN,"1002 LIGHT ST
Baltimore, MD
"
GUS RESTAURANT (3103-05),21216,Northwest Community Action,7,SOUTHWESTERN,"3103 NORTH AVE
Baltimore, MD
"
GYPSIES,21224,Baltimore Highlands,2,SOUTHEASTERN,"4020 LOMBARD ST
Baltimore, MD
"
H.I.S. PLACE,21224,Canton,1,SOUTHEASTERN,"2822 HUDSON ST
Baltimore, MD
"
HABENERO GRILL,21224,Greektown,2,SOUTHEASTERN,"4701 EASTERN AVE
Baltimore, MD
"
"HAMILTON HOMING PIGEON CLUB, INC.",21206,Frankford,2,NORTHEASTERN,"4810 GUNTHER AVE
Baltimore, MD
"
HAMPDEN REPUBLICAN CLUB,21211,Hampden,14,NORTHERN,"3535 CHESTNUT AVE
Baltimore, MD
"
harbor way inn,21201,Ridgely's Delight,11,SOUTHERN,"737 pratt st
Baltimore, MD
"
HARBORSIDE CHICKEN & SEAFOOD,21227,Dunbar-Broadway,13,EASTERN,"600 WOLFE ST
Baltimore, MD
"
HARD ROCK CAF,21202,Inner Harbor,11,CENTRAL,"601 PRATT ST
Baltimore, MD
"
HARD ROCK CAF-OUTDOOR PIER,21202,Inner Harbor,11,CENTRAL,"601 PRATT ST
Baltimore, MD
"
HARFORD HOUSE,21234,North Harford Road,3,NORTHEASTERN,"7509 HARFORD RD
Baltimore, MD
"
"HARFORD ROAD GROUP, LLC",21214,Glenham-Belford,3,NORTHEASTERN,"5516 HARFORD RD
Baltimore, MD
"
HARFORD ROAD LIQUORS,21214,Lauraville,3,NORTHEASTERN,"4627 HARFORD RD
Baltimore, MD
"
HARRAR CAF,21230,Washington Village,11,SOUTHERN,"821 WASHINGTON BLVD
Baltimore, MD
"
MIDWAY BAR,21202,Downtown,11,CENTRAL,"421 BALTIMORE ST
Baltimore, MD
"
MIKE MCGOVERN'S,21224,Canton,1,SOUTHEASTERN,"1129 CLINTON ST
Baltimore, MD
"
MIKE'S PLACE,21211,Hampden,7,NORTHERN,"1102 36TH ST
Baltimore, MD
"
MILTON AT CHARLES ST,21201,Downtown,11,CENTRAL,"336 CHARLES ST
Baltimore, MD
"
MINATO RESTAURANT,21201,Mid-Town Belvedere,11,CENTRAL,"1013 CHARLES ST
Baltimore, MD
"
MINATO/CAFE VIET RESTAURANT,21201,Mount Vernon,11,CENTRAL,"800 CHARLES ST
Baltimore, MD
"
MISS SHIRLEY'S CAF,21210,Roland Park,6,NORTHERN,"513 COLDSPRING LN
Baltimore, MD
"
MOM'S PLACE,21230,Washington Village,9,SOUTHERN,"1201 CROSS ST
Baltimore, MD
"
MONDO BONDO ITALIAN BISTRO,21202,Downtown,11,CENTRAL,"30 MARKET PL
Baltimore, MD
"
MONUMENT HOUSE,21205,Milton-Montford,13,SOUTHEASTERN,"2300 MONUMENT ST
Baltimore, MD
"
MORGAN STATE-FACULTY,21251,Stonewood-Pentwood-Winston,3,NORTHEASTERN,"1700 coldspring ln
Baltimore, MD
"
MORTON'S--THE  STEAKHOUSE,21201,Inner Harbor,11,CENTRAL,"300 CHARLES ST
Baltimore, MD
"
MO'S CRAB & PASTA FACTORY,21202,Inner Harbor,1,SOUTHEASTERN,"502 ALBEMARLE ST
Baltimore, MD
"
MOTHER'S  FEDERAL  HILL  GRILL,21230,Federal Hill,10,SOUTHERN,"1113 CHARLES ST
Baltimore, MD
"
"MOUNT VERNON CLUB OF BALTIMORE, INC.",21201,Mount Vernon,11,CENTRAL,"8 MOUNT VERNON PL
Baltimore, MD
"
MOUNT VERNON STABLE & SALOON,21201,Mount Vernon,11,CENTRAL,"909 CHARLES ST
Baltimore, MD
"
MOUSE TRAP,21202,Downtown,11,CENTRAL,"12 CUSTOM HOUSE AVE
Baltimore, MD
"
MR. C. PLACE,21223,Washington Village,9,SOUTHERN,"1001 CAREY ST
Baltimore, MD
"
MR. JOE'S BAR AND CUT RATE LIQUORS,21224,Baltimore-Linwood,1,SOUTHEASTERN,"1 HIGHLAND AVE
Baltimore, MD
"
MT VERNON ENTERTAINMENT LLC,21202,Downtown,11,CENTRAL,"347 CALVERT ST
Baltimore, MD
"
MT. PLEASANT INN,21224,Baltimore Highlands,1,SOUTHEASTERN,"105 CONKLING ST
Baltimore, MD
"
MT. ROYAL TAVERN,21217,Mid-Town Belvedere,11,CENTRAL,"1204 MOUNT ROYAL AVE
Baltimore, MD
"
MT. VERNON  HOTEL AND WASHINGTON CAFE',21201,Mount Vernon,11,CENTRAL,"24 FRANKLIN ST
Baltimore, MD
"
MT. WASHINGTON TAVERN,21209,Mount Washington,5,NORTHERN,"5700 NEWBURY ST
Baltimore, MD
"
MUGGSY'S,21230,Federal Hill,10,SOUTHERN,"1236 LIGHT ST
Baltimore, MD
"
MUGHAL GARDEN,21201,Mount Vernon,11,CENTRAL,"918 CHARLES ST
Baltimore, MD
"
MUIR'S TAVERN,21230,SBIC,10,SOUTHERN,"36 FORT AVE
Baltimore, MD
"
MUM'S,21230,Sharp-Leadenhall,10,SOUTHERN,"1132 HANOVER ST
Baltimore, MD
"
MURPHY'S NEIGHBORHOOD BAR & GRILL,21212,Mid-Govans,4,NORTHERN,"5847 YORK RD
Baltimore, MD
"
MUSTANG ALLEY'S,21231,Little Italy,1,SOUTHEASTERN,"1300 BANK ST
Baltimore, MD
"
MUSTANG INN,21224,Highlandtown,1,SOUTHEASTERN,"3203 EASTERN AVE
Baltimore, MD
"
MVP ENTERTAINMENT LLC CLUB 347-KITCHEN AREA,21202,Downtown,11,CENTRAL,"347 CALVERT ST
Baltimore, MD
"
"MY COUSIN'S PLACE, LLC (3925-27)",21224,Baltimore Highlands,2,SOUTHEASTERN,"3925 LOMBARD ST
Baltimore, MD
"
MY PANINI,21202,Inner Harbor,11,CENTRAL,"711 EASTERN AVE
Baltimore, MD
"
MY THAI RESTAURANT,21201,Mount Vernon,11,CENTRAL,"800 CHARLES ST
Baltimore, MD
"
NAK WON RESTAURANT,21218,Charles North,12,NORTHERN,"12 20TH ST
Baltimore, MD
"
NAM KANG KOREAN RESTAURANT   (AKA 101 W. 22ND ST.),21218,Charles North,12,NORTHERN,"2126 MARYLAND AVE
Baltimore, MD
"
NASU BLANCA,21230,Riverside,10,SOUTHERN,"1036 FORT AVE
Baltimore, MD
"
NCDEVINS,21224,Canton,1,SOUTHEASTERN,"801 DECKER AVE
Baltimore, MD
"
NELSON BAKED GOODS & COFFEE SHOP,21205,Middle East,13,EASTERN,"531 CHESTER ST
Baltimore, MD
"
NEOPOL,21212,Chinquapin Park-Belvedere,4,NORTHERN,"529 BELVEDERE AVE
Baltimore, MD
"
network deli,21211,Woodberry,7,NORTHERN,"3600 malden ave
Baltimore, MD
"
NEVER ON SUNDAY,21201,Mount Vernon,11,CENTRAL,"829 CHARLES ST
Baltimore, MD
"
NEVIN'S  CROSS  STREET STATION,21230,Federal Hill,10,SOUTHERN,"31 CROSS ST
Baltimore, MD
"
NEW CLUB THUNDERBIRD INC.,21213,Middle East,13,EASTERN,"2201 CHASE ST
Baltimore, MD
"
NEW DUFFY' S RESTAURANT,21229,Irvington,8,SOUTHWESTERN,"3436 FREDERICK AVE
Baltimore, MD
"
NEW EVERGREEN CAF,21215,Reisterstown Station,5,NORTHWESTERN,"6618 C REISTERSTOWN RD
Baltimore, MD
"
"NEW HONG  KONG RESTAURANT, INC.",21218,Charles Village,12,NORTHERN,"2426 CHARLES ST
Baltimore, MD
"
NEW JOHNSON'S LOUNGE,21223,Midtown-Edmondson,9,WESTERN,"546 PULASKI ST
Baltimore, MD
"
"NEW MAY FLOWER BUFFET, INC.",21218,Oakenshawe,14,NORTHERN,"3326 GREENMOUNT AVE
Baltimore, MD
"
"NEW MAYFIELD, INC.",21213,Belair-Edison,13,NORTHEASTERN,"3349 BELAIR RD
Baltimore, MD
"
NEW MOM & DAD LIQUORS,21217,Sandtown-Winchester,7,CENTRAL,"2143 PENNSYLVANIA AVE
Baltimore, MD
"
NEW NO  DO  JI  RESTAURANT,21218,Charles Village,12,NORTHERN,"2501 CHARLES ST
Baltimore, MD
"
HARRIS' TAVERN,21229,Gwynns Falls,8,SOUTHWESTERN,"2949 FREDERICK AVE
Baltimore, MD
"
"HARRY OLIVER MANAGEMENT CO., INC.",21231,Fells Point,1,SOUTHEASTERN,"801 ANN ST
Baltimore, MD
"
HARRY'S AMERICAN BAR,21230,Canton,1,SOUTHEASTERN,"623 LUZERNE AVE
Baltimore, MD
"
HARVEST TABLE,21230,Locust Point Industrial Area,10,SOUTHERN,"1000 HULL ST
Baltimore, MD
"
HAVE A NICE DAY CAF  (AKA 2 MARKET PLACE),21202,Downtown,11,CENTRAL,"34 MARKET PL
Baltimore, MD
"
HAVEN PLACE,21224,Baltimore Highlands,2,SOUTHEASTERN,"400 HAVEN ST
Baltimore, MD
"
hawley's  (2616-20),21230,Morrell Park,10,SOUTHWESTERN,"2616 WASHINGTON blvd
Baltimore, MD
"
HEATH STREET PUB,21230,SBIC,10,SOUTHERN,"32 HEATH ST
Baltimore, MD
"
"HEIGHTS LIQUORS, INC.",21215,Arlington,5,NORTHWESTERN,"5302 PARK HEIGHTS AVE
Baltimore, MD
"
HELEN'S GARDEN  CAFE',21224,Canton,1,SOUTHEASTERN,"2908 O DONNELL ST
Baltimore, MD
"
HELLAS COFFEE SHOP,21224,Greektown,2,SOUTHEASTERN,"4709 EASTERN AVE
Baltimore, MD
"
HENNINGER'S TAVERN,21231,Upper Fells Point,1,SOUTHEASTERN,"1810 BANK ST
Baltimore, MD
"
"HIDING SPOT, INC.",21225,Brooklyn,10,SOUTHERN,"3638 HANOVER ST
Baltimore, MD
"
"HIGH GROUNDS COFFEE ROASTERS, LLC",21224,Highlandtown,1,SOUTHEASTERN,"3201 EASTERN AVE
Baltimore, MD
"
HIGHLAND CLIPPER CLUB,21224,Brewers Hill,1,SOUTHEASTERN,"621 DEAN ST
Baltimore, MD
"
HILLEN RESTAURANT,21202,Penn-Fallsway,12,EASTERN,"1041 HILLEN ST
Baltimore, MD
"
HIPPOPOTAMUS (932-34),21201,Mount Vernon,11,CENTRAL,"932 CHARLES ST
Baltimore, MD
"
HOGAN'S ALLEY,21230,Riverside,10,SOUTHERN,"1501 COVINGTON ST
Baltimore, MD
"
HOLIDAY HOUSE,21214,Westfield,3,NORTHEASTERN,"6427 HARFORD RD
Baltimore, MD
"
HOLIDAY INN-INNER HARBOR,21202,Inner Harbor,11,CENTRAL,"301 LOMBARD ST
Baltimore, MD
"
HOLIDAY RESTAURANT,21225,Brooklyn,10,SOUTHERN,"3570 HANOVER ST
Baltimore, MD
"
HOLLINS STREET PUB,21223,Hollins Market,9,SOUTHERN,"1214 HOLLINS STREET
Baltimore, MD
"
HOLLINSWOOD INN,21230,Lakeland,10,SOUTHERN,"2839 ANNAPOLIS RD
Baltimore, MD
"
HOLLYWOOD DINER,21202,Downtown,11,CENTRAL,"400 SARATOGA ST
Baltimore, MD
"
HOLY FRIJOLES,21211,Hampden,14,NORTHERN,"908 36TH ST
Baltimore, MD
"
HOMETOWN DELI,21202,Downtown,11,CENTRAL,"311 CALVERT ST
Baltimore, MD
"
HOMETOWN GIRL & COMPANY,21211,Hampden,7,NORTHERN,"1001 36TH ST
Baltimore, MD
"
HONEY'S LOUNGE,21231,Upper Fells Point,1,SOUTHEASTERN,"1722 GOUGH ST
Baltimore, MD
"
HOOTERS OF AMERICA,21202,Inner Harbor,11,CENTRAL,"301 LIGHT ST
Baltimore, MD
"
HOPKINS DELI,21210,Tuscany-Canterbury,14,NORTHERN,"110 39TH ST
Baltimore, MD
"
HOPKINS PLAZA DELI,21201,Downtown,11,CENTRAL,"Hopkins Pl
Baltimore, MD
"
HOPKINS SUBWAY,21218,Charles Village,14,NORTHERN,"3233 ST PAUL ST
Baltimore, MD
"
HORSEFEATHER'S PUB,21224,Baltimore-Linwood,1,SOUTHEASTERN,"40 STREEPER ST
Baltimore, MD
"
HOT TOMATOES-CAF FORTUNATO,21231,Fells Point,1,SOUTHEASTERN,"717 BROADWAY
Baltimore, MD
"
HOULIHANS OF MARYLAND,21202,Inner Harbor,11,CENTRAL,"621 PRATT ST
Baltimore, MD
"
HOWL AT THE MOON  (AKA 22 MARKET PL),21202,Downtown,11,CENTRAL,"34 MARKET PL
Baltimore, MD
"
HUCKAS,21224,Canton,1,SOUTHEASTERN,"2324 BOSTON ST
Baltimore, MD
"
HULL STREET BLUES,21230,Locust Point,10,SOUTHERN,"1222 HULL ST
Baltimore, MD
"
HUNAN EMPIRE,21230,Riverside,10,SOUTHERN,"849 FORT AVE
Baltimore, MD
"
HYATT REGENCY BALTIMORE      (PISCES & BAR),21202,Inner Harbor,11,CENTRAL,"300 LIGHT ST
Baltimore, MD
"
HYATT REGENCY BALTIMORE    (Perks -LOBBY BAR),21202,Inner Harbor,11,CENTRAL,"300 LIGHT ST
Baltimore, MD
"
HYATT REGENCY BALTIMORE   (CAFETERIA),21202,Inner Harbor,11,CENTRAL,"300 LIGHT ST
Baltimore, MD
"
HYATT REGENCY BALTIMORE  (KITCHEN/BANQUET ROOM),21202,Inner Harbor,11,CENTRAL,"300 LIGHT ST
Baltimore, MD
"
HYATT REGENCY OF BALTIMORE  (Bistro-300 & Bar),21202,Inner Harbor,11,CENTRAL,"300 LIGHT ST
Baltimore, MD
"
I BAR,21218,Charles North,7,NORTHERN,"2118 MARYLAND AVE
Baltimore, MD
"
"I.B.P.O.E. OF W., INCORPORATED",21218,East Baltimore Midway,12,EASTERN,"2008 HARFORD RD
Baltimore, MD
"
I'CON INN,21224,Kresson,2,SOUTHEASTERN,"45 KRESSON ST
Baltimore, MD
"
IGGIES,21202,Mount Vernon,11,CENTRAL,"818 CALVERT ST
Baltimore, MD
"
IGUANA CANTINA BAR,21202,Inner Harbor,11,CENTRAL,"124 MARKET PLACE
Baltimore, MD
"
IKAN SEAFOOD,21212,Chinquapin Park-Belvedere,4,NORTHERN,"529 BELVEDERE AVE
Baltimore, MD
"
IKAROS RESTAURANT,21224,Greektown,2,SOUTHEASTERN,"4805 EASTERN AVE
Baltimore, MD
"
IKE'S PLACE,21223,Carrollton Ridge,9,SOUTHWESTERN,"2248 WILKENS Ave
Baltimore, MD
"
"IL MONDO,INC",21202,Little Italy,1,SOUTHEASTERN,"217 HIGH ST
Baltimore, MD
"
ILLUSIONS MAGIC BAR & LOUNGE,21230,Federal Hill,10,SOUTHERN,"1025 27 S CHARLES ST
Baltimore, MD
"
IMPRESSED CAF,21202,Downtown,11,CENTRAL,"200 LEXINGTON ST
Baltimore, MD
"
INCOGNITO TAVERN,21223,Carrollton Ridge,9,SOUTHERN,"424 PAYSON ST
Baltimore, MD
"
INDIA RASOI RESTAURANT,21202,Little Italy,1,SOUTHEASTERN,"411 HIGH ST
Baltimore, MD
"
INDIA TANDOOR,21218,Charles North,12,NORTHERN,"2101 CHARLES ST
Baltimore, MD
"
INDIGMA,21201,Mount Vernon,11,CENTRAL,"802 CHARLES ST
Baltimore, MD
"
INSIDE RAIL BAR,21215,Pimlico Good Neighbors,5,NORTHWESTERN,"Hayward Ave
Baltimore, MD
"
INTERCONTINENTAL HARBOR COURT-BRIGHTON'S,21202,Otterbein,11,SOUTHERN,"550 LIGHT ST
Baltimore, MD
"
INTERCONTINENTAL HARBOR-EXPRESSO,21202,Otterbein,11,SOUTHERN,"550 LIGHT ST
Baltimore, MD
"
INTRINSICS RESTAURANT,21215,Woodmere,6,NORTHWESTERN,"5209 REISTERSTOWN RD
Baltimore, MD
"
IRISH PUB,21224,Highlandtown,1,SOUTHEASTERN,"418 CLINTON ST
Baltimore, MD
"
ISIS ( 226-228),21201,Downtown,11,CENTRAL,"226 PARK AVE
Baltimore, MD
"
ISLAND II,21231,Fells Point,1,SOUTHEASTERN,"1928 FLEET ST
Baltimore, MD
"
ITALIANOS RESTAURANT CARRYOUT,21230,Morrell Park,10,SOUTHWESTERN,"2229 WASHINGTON BLVD
Baltimore, MD
"
ixia restaurant,21202,Mount Vernon,11,CENTRAL,"518 charles st
Baltimore, MD
"
J & J LOUNGE,21216,Coppin Heights/Ash-Co-East,7,SOUTHWESTERN,"2738 BAKER ST
Baltimore, MD
"
J & J TAVERN,21223,Carrollton Ridge,9,SOUTHERN,"1801 RAMSAY ST
Baltimore, MD
"
J & M CORNER BAR,21224,Baltimore Highlands,1,SOUTHEASTERN,"3527 BALTIMORE ST
Baltimore, MD
"
J & S BAR & LOUNGE,21224,Ellwood Park/Monument,13,SOUTHEASTERN,"301 LONEYS LN
Baltimore, MD
"
J RAY'S CAFE,21223,Washington Village,9,SOUTHERN,"900 CAREY ST
Baltimore, MD
"
"J. PATRICK, INC.",21230,Locust Point,10,SOUTHERN,"1367 ANDRE ST
Baltimore, MD
"
J. PAUL'S,21202,Inner Harbor,11,CENTRAL,"301 LIGHT ST
Baltimore, MD
"
J. T.'S SALOON,21206,Rosemont East,2,NORTHEASTERN,"6317 BELAIR RD
Baltimore, MD
"
JACK'S BISTRO,21224,Canton,1,SOUTHEASTERN,"3123 ELLIOTT ST
Baltimore, MD
"
JACK'S LIQUOR & LOUNGE,21230,Sharp-Leadenhall,10,SOUTHERN,"141 HAMBURG ST
Baltimore, MD
"
JAMES JOYCE IRISH PUB AND RESTAURANT,21202,Inner Harbor,1,SOUTHEASTERN,"616 PRESIDENT ST
Baltimore, MD
"
KAMP  (2312-14),21224,Canton,1,SOUTHEASTERN,"2312 BOSTON ST
Baltimore, MD
"
KASBAH CAF,21231,Fells Point,1,SOUTHEASTERN,"726 BROADWAY
Baltimore, MD
"
KAWASAKI CAF,21231,Fells Point,1,SOUTHEASTERN,"907 ANN ST
Baltimore, MD
"
KAY-CEE CLUB,21212,Homeland,4,NORTHERN,"201 HOMELAND AVE
Baltimore, MD
"
K'C' CORNER TAVERN,21214,Westfield,3,NORTHEASTERN,"6626 HARFORD RD
Baltimore, MD
"
KELLY'S,21231,Canton,1,SOUTHEASTERN,"2106 EASTERN AVE
Baltimore, MD
"
KELLY'S BAR & LOUNGE,21223,Carrollton Ridge,9,SOUTHWESTERN,"291 PULASKI ST
Baltimore, MD
"
KENTUCKY  FRIED  CHICKEN,21206,Glenham-Belford,2,NORTHEASTERN,"6219 BELAIR RD
Baltimore, MD
"
